parent_count,files_changed,additions,deletions,total_changes,message_length,commit_hour,commit_day,developer_experience,directories_changed,buggy_label
1,1,4,0,4,98,14,1,0,1,0
1,11,554,13,567,638,13,1,0,1,0
1,2,946,0,946,938,13,1,0,1,0
1,7,166,207,373,420,13,1,0,1,0
1,2,52,1,53,2442,13,1,0,1,1
1,4,34,1,35,246,13,1,0,1,1
1,17,330,322,652,512,13,1,1,1,1
1,3,12,0,12,770,13,1,0,1,1
1,1,1,1,2,115,13,1,0,1,0
1,22,2014,243,2257,1858,12,1,0,1,1
1,9,47,49,96,254,12,1,0,1,1
1,3,440,88,528,3731,12,1,1,1,0
1,1,4,4,8,51,12,1,1,1,1
1,1,53,0,53,731,12,1,0,1,0
1,4,16,7,23,196,12,1,0,1,1
1,1,131,122,253,51,11,1,2,1,0
1,17,92,75,167,456,11,1,0,1,0
1,1,11,5,16,232,11,1,0,1,1
1,2,122,0,122,108,10,1,1,1,0
1,12,39,11,50,217,10,1,0,1,0
1,6,148,14,162,544,10,1,0,1,0
1,3,35,33,68,51,10,1,3,1,0
1,5,16,31,47,78,9,1,2,1,0
1,5,68,38,106,234,9,1,1,1,0
2,1,2,0,2,77,8,1,0,1,0
1,3,11,6,17,190,8,1,0,1,1
1,3,125,28,153,500,8,1,0,1,0
1,1,1,1,2,248,8,1,0,1,0
1,1,1,0,1,51,7,1,4,1,1
1,5,31,16,47,499,7,1,0,1,0
1,3,3,5,8,51,6,1,5,1,0
1,3,2,1,3,51,6,1,6,1,0
1,4,11,8,19,51,6,1,7,1,0
1,3,4,3,7,51,5,1,8,1,0
1,2,2,0,2,51,5,1,9,1,0
1,1,1,1,2,51,5,1,10,1,0
1,5,8,0,8,51,4,1,11,1,0
1,8,77,69,146,51,4,1,12,1,0
1,7,7,1,8,51,3,1,13,1,0
1,3,35,0,35,198,3,1,0,1,0
1,1,405,4,409,120,2,1,14,1,1
1,2,6,6,12,66,1,1,15,2,0
1,5,141,51,192,87,0,1,0,1,0
1,7,19,19,38,196,0,1,0,1,0
1,2,14,1,15,109,0,1,1,1,0
1,8,741,0,741,1359,0,1,0,1,0
1,2,607,506,1113,185,23,0,16,1,0
1,2,342,347,689,337,23,0,17,1,0
1,7,1854,0,1854,1546,23,0,0,1,0
1,4,19,16,35,266,22,0,0,1,0
1,1,1,1,2,78,22,0,0,1,0
1,1,6,6,12,216,20,0,0,1,0
1,2,124,53,177,490,19,0,18,1,0
1,1,17,15,32,213,19,0,0,1,1
1,3,29,22,51,109,17,0,1,1,0
1,3,296,23,319,84,16,0,0,1,0
1,2,17,11,28,203,15,0,1,1,0
1,4,158,6,164,406,15,0,1,1,1
1,1,4,2,6,109,13,0,2,1,0
1,8,995,7,1002,547,13,0,0,1,0
1,8,486,226,712,2607,12,0,0,1,0
1,3,38,21,59,99,12,0,3,1,1
1,5,20,36,56,422,12,0,3,1,0
1,1,50,0,50,89,12,0,0,1,1
